id,final_name,country_code,postal_code,latitude,longitude
3022,Puligny-Montrachet Premier Cru,fr,21190,"46,9536245","4,748233065293081"
3024,Chassagne-Montrachet Premier Cru,fr,21190,"46,939878","4,730738467622547"
3036,Bâtard-Montrachet Grand Cru,fr,21190,"46,94385735","4,740030623897403"
3037,Chevalier-Montrachet Grand Cru,fr,,nan,nan
3041,Montrachet Grand Cru,fr,21190,"46,94385735","4,740030623897403"
3068,Puente Alto,cl,8150000,"-33,6095279","-70,5754736"
3077,Hérault,fr,34800,"43,591422","3,3553309364095925"
3107,Rosso Veronese,it,37030,"45,6362694","11,1093557"
3138,Bienvenues-Bâtard-Montrachet Grand Cru,fr,,nan,nan
3150,Wiltingen,de,54459,"49,6591723","6,590185"
3154,Graach,de,54470,"49,9352333","7,0634184"
3235,Valpolicella Classico,it,,nan,nan
3237,Amarone della Valpolicella Classico,it,,nan,nan
3238,Amarone della Valpolicella Valpantena,it,,nan,nan
3265,Luberon,fr,84120,"43,6959194","5,512207"
3336,Pézenas,fr,34120,"43,4611777","3,4228323"
3344,Recioto della Valpolicella Classico,it,,nan,nan
3345,Bolgheri Superiore,it,,nan,nan
3436,Fthiotida,gr,351 32,"38,88734025","22,36803008460693"
3505,Pedro Ximénez Sherry (PX),es,,nan,nan
3506,Palo Cortado Sherry,es,,nan,nan
3510,Malconsorts,fr,,nan,nan
3516,Les Beaux Monts,fr,60200,"49,4098967","2,8919156"
3521,Les Suchots,fr,18370,"46,5870375","2,248357"
3558,Les Clos,fr,83570,"43,5044657","6,2161605"
3560,Valmur,fr,89800,"47,8253837","3,8081277"
3601,Le Clos des Mouches,fr,,nan,nan
3678,Les Amoureuses,fr,75004,"48,8539414","2,3672392"
3687,Les Feusselottes,fr,21220,"47,1844938","4,955694834043014"
3695,Les Sentiers,fr,37460,"47,1355114","1,3069398"
3720,La Maltroie,fr,,nan,nan
3745,Morgeot,fr,21190,"46,9251024","4,7229654"
3763,Aux Combottes,fr,88350,"48,3510125","5,4352098"
3864,Charmes,fr,02800,"49,6516667","3,3786111"
3866,Genevrières,fr,52500,"47,7205492","5,6063078"
3877,Perrières,fr,14170,"48,9596234","-0,1351596"
3967,Aux Boudots,fr,,nan,nan
3972,Aux Murgers,fr,52800,"48,0362178","5,2050943"
3974,Aux Thorey,fr,89430,"47,9030083","4,1222744"
3981,Clos des Corvées,fr,88630,"48,4445268","5,6759878"
3985,Clos des Porrets Saint-Georges,fr,,nan,nan
4048,Champ Gain,fr,21190,"46,954121","4,737453"
4053,La Garenne,fr,26700,"44,4109903","4,752313"
4054,La Truffière,fr,61170,"48,5079986","0,2766595"
4171,Les Caillerets,fr,41700,"47,5359795","1,4540494477739678"
4240,Costa Toscana,it,53018,"43,2953348","11,1984872"
4262,Paraje Altamira,ar,,"41,4616571","-1,1852378"
4311,Charlemagne Grand Cru,fr,21550,"47,07909015","4,8726187986944085"
4363,Greyton,za,7233,"-34,050751","19,608166"
4595,Cream Sherry,es,,nan,nan
4599,Bual Madeira,pt,,nan,nan
4615,Passito di Pantelleria,it,,nan,nan
4621,Aÿ,fr,49320,"47,38863045","-0,3909097146387368"
4624,Ambonnay,fr,51150,"49,0772894","4,1723887"
4625,Avize,fr,51190,"48,9722072","4,0100647"
4631,Le Mesnil-sur-Oger,fr,51130,"48,94631","4,02123"
4638,Champagne Grand Cru,fr,,nan,nan
4639,Champagne Premier Cru,fr,,nan,nan
4670,Apalta Valley,cl,,nan,nan
